service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at
amtrak,NER,109,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T13:19:00Z,2026-02-27T13:17:00Z,2026-02-27T13:17:00Z,2026-02-27T13:17:00Z,2026-02-27T10:07:47Z
amtrak,NER,109,2026-02-27,WAS,Washington Union Station,2026-02-27T14:01:00Z,2026-02-27T14:01:00Z,2026-02-27T14:01:00Z,2026-02-27T14:01:00Z,2026-02-27T10:07:47Z
amtrak,NER,151,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T11:10:00Z,2026-02-27T11:08:00Z,2026-02-27T11:08:00Z,2026-02-27T11:08:00Z,2026-02-27T10:07:47Z
amtrak,NER,151,2026-02-27,WAS,Washington Union Station,2026-02-27T12:30:00Z,2026-02-27T11:58:00Z,2026-02-27T11:58:00Z,2026-02-27T11:58:00Z,2026-02-27T10:07:47Z
amtrak,NER,160,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T11:08:00Z,2026-02-27T11:06:00Z,2026-02-27T11:06:00Z,2026-02-27T11:06:00Z,2026-02-27T10:07:47Z
amtrak,NER,160,2026-02-27,WAS,Washington Union Station,2026-02-27T10:25:00Z,2026-02-27T10:25:00Z,2026-02-27T10:25:00Z,2026-02-27T10:25:00Z,2026-02-27T10:07:47Z
amtrak,NER,164,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T15:01:00Z,2026-02-27T14:59:00Z,2026-02-27T14:59:00Z,2026-02-27T14:59:00Z,2026-02-27T10:07:47Z
amtrak,NER,164,2026-02-27,WAS,Washington Union Station,2026-02-27T14:20:00Z,2026-02-27T13:18:00Z,2026-02-27T13:18:00Z,2026-02-27T13:18:00Z,2026-02-27T10:07:47Z
marc,11705,Train403,2026-02-27,11980,PENN STATION MARC sb,2026-02-27T09:50:04Z,2026-02-27T09:50:08Z,NA,NA,2026-02-27T10:10:48Z
marc,11705,Train403,2026-02-27,11958,UNION STATION MARC Washington,NA,NA,2026-02-27T10:54:46Z,2026-02-27T10:56:32Z,2026-02-27T10:10:48Z
marc,11705,Train401,2026-02-27,11980,PENN STATION MARC sb,2026-02-27T09:30:00Z,2026-02-27T09:30:00Z,NA,NA,2026-02-27T10:10:48Z
marc,11705,Train401,2026-02-27,11958,UNION STATION MARC Washington,NA,NA,2026-02-27T10:33:31Z,2026-02-27T10:37:02Z,2026-02-27T10:10:48Z
marc,11705,Train505,2026-02-27,11980,PENN STATION MARC sb,2026-02-27T10:14:02Z,2026-02-27T10:18:04Z,2026-02-27T10:13:32Z,2026-02-27T10:17:34Z,2026-02-27T10:10:48Z
marc,11705,Train505,2026-02-27,11958,UNION STATION MARC Washington,NA,NA,2026-02-27T11:14:02Z,2026-02-27T11:18:04Z,2026-02-27T10:10:48Z
amtrak,NER,66,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T03:51:00Z,2026-02-27T03:51:00Z,2026-02-27T03:49:00Z,2026-02-27T03:49:00Z,2026-02-27T10:10:48Z
amtrak,NER,66,2026-02-27,WAS,Washington Union Station,2026-02-27T03:00:00Z,2026-02-27T03:03:00Z,2026-02-27T02:28:00Z,2026-02-27T02:31:00Z,2026-02-27T10:10:48Z
amtrak,NER,67,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T11:04:00Z,2026-02-27T10:58:00Z,2026-02-27T11:02:00Z,2026-02-27T10:58:00Z,2026-02-27T10:10:48Z
amtrak,NER,67,2026-02-27,WAS,Washington Union Station,2026-02-27T12:20:00Z,2026-02-27T11:54:00Z,2026-02-27T11:54:00Z,2026-02-27T11:54:00Z,2026-02-27T10:10:48Z
amtrak,NER,109,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T13:19:00Z,2026-02-27T13:17:00Z,2026-02-27T13:17:00Z,2026-02-27T13:17:00Z,2026-02-27T10:10:48Z
amtrak,NER,109,2026-02-27,WAS,Washington Union Station,2026-02-27T14:01:00Z,2026-02-27T14:01:00Z,2026-02-27T14:01:00Z,2026-02-27T14:01:00Z,2026-02-27T10:10:48Z
amtrak,NER,151,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T11:10:00Z,2026-02-27T11:08:00Z,2026-02-27T11:08:00Z,2026-02-27T11:08:00Z,2026-02-27T10:10:48Z
amtrak,NER,151,2026-02-27,WAS,Washington Union Station,2026-02-27T12:30:00Z,2026-02-27T11:58:00Z,2026-02-27T11:58:00Z,2026-02-27T11:58:00Z,2026-02-27T10:10:48Z
amtrak,NER,160,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T11:08:00Z,2026-02-27T11:06:00Z,2026-02-27T11:06:00Z,2026-02-27T11:06:00Z,2026-02-27T10:10:48Z
amtrak,NER,160,2026-02-27,WAS,Washington Union Station,2026-02-27T10:25:00Z,2026-02-27T10:25:00Z,2026-02-27T10:25:00Z,2026-02-27T10:25:00Z,2026-02-27T10:10:48Z
amtrak,NER,164,2026-02-27,BAL,Baltimore Penn Station,2026-02-27T15:01:00Z,2026-02-27T14:59:00Z,2026-02-27T14:59:00Z,2026-02-27T14:59:00Z,2026-02-27T10:10:48Z
amtrak,NER,164,2026-02-27,WAS,Washington Union Station,2026-02-27T14:20:00Z,2026-02-27T13:18:00Z,2026-02-27T13:18:00Z,2026-02-27T13:18:00Z,2026-02-27T10:10:48Z
