service,route_id,trip_id,trip_date,stop_id,stop_name,sched_dep,pred_dep,sched_arr,pred_arr,collected_at
marc,11705,Train403,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T09:58:22Z,2026-02-26T09:57:44Z,2026-02-26T09:57:34Z,2026-02-26T09:57:08Z,2026-02-26T10:07:16Z
marc,11705,Train403,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T10:53:00Z,2026-02-26T10:53:00Z,2026-02-26T10:07:16Z
marc,11705,Train505,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T10:20:07Z,2026-02-26T10:22:14Z,2026-02-26T10:19:27Z,2026-02-26T10:21:34Z,2026-02-26T10:07:16Z
marc,11705,Train505,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T11:12:07Z,2026-02-26T11:14:14Z,2026-02-26T10:07:16Z
amtrak,NER,66,2026-02-26,BAL,Baltimore Penn Station,2026-02-25T22:51:00-05:00,2026-02-25T22:51:00-05:00,2026-02-25T22:49:00-05:00,2026-02-25T22:49:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,66,2026-02-26,WAS,Washington Union Station,2026-02-25T22:00:00-05:00,2026-02-25T22:00:00-05:00,2026-02-25T21:28:00-05:00,2026-02-25T21:27:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,67,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:04:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,67,2026-02-26,WAS,Washington Union Station,2026-02-26T07:20:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,151,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:10:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,151,2026-02-26,WAS,Washington Union Station,2026-02-26T07:30:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,160,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:08:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,160,2026-02-26,WAS,Washington Union Station,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,164,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T10:01:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T10:07:16Z
amtrak,NER,164,2026-02-26,WAS,Washington Union Station,2026-02-26T09:20:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T10:07:16Z
marc,11705,Train401,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T09:38:58Z,2026-02-26T09:38:56Z,2026-02-26T09:38:43Z,2026-02-26T09:39:26Z,2026-02-26T10:10:17Z
marc,11705,Train401,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T10:33:21Z,2026-02-26T10:36:42Z,2026-02-26T10:10:17Z
marc,11705,Train403,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T09:58:22Z,2026-02-26T09:57:44Z,2026-02-26T09:57:34Z,2026-02-26T09:57:08Z,2026-02-26T10:10:17Z
marc,11705,Train403,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T10:53:32Z,2026-02-26T10:54:04Z,2026-02-26T10:10:17Z
marc,11705,Train505,2026-02-26,11981,WEST BALTIMORE MARC sb,2026-02-26T10:20:15Z,2026-02-26T10:22:30Z,2026-02-26T10:19:35Z,2026-02-26T10:21:50Z,2026-02-26T10:10:17Z
marc,11705,Train505,2026-02-26,11958,UNION STATION MARC Washington,NA,NA,2026-02-26T11:12:15Z,2026-02-26T11:14:30Z,2026-02-26T10:10:17Z
amtrak,NER,66,2026-02-26,BAL,Baltimore Penn Station,2026-02-25T22:51:00-05:00,2026-02-25T22:51:00-05:00,2026-02-25T22:49:00-05:00,2026-02-25T22:49:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,66,2026-02-26,WAS,Washington Union Station,2026-02-25T22:00:00-05:00,2026-02-25T22:00:00-05:00,2026-02-25T21:28:00-05:00,2026-02-25T21:27:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,67,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:04:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T06:02:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,67,2026-02-26,WAS,Washington Union Station,2026-02-26T07:20:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T06:54:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,109,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T08:19:00-05:00,2026-02-26T08:17:00-05:00,2026-02-26T08:17:00-05:00,2026-02-26T08:17:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,109,2026-02-26,WAS,Washington Union Station,2026-02-26T09:01:00-05:00,2026-02-26T09:01:00-05:00,2026-02-26T09:01:00-05:00,2026-02-26T09:01:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,151,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:10:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T06:08:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,151,2026-02-26,WAS,Washington Union Station,2026-02-26T07:30:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T06:58:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,160,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T06:08:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T06:06:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,160,2026-02-26,WAS,Washington Union Station,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T05:25:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,164,2026-02-26,BAL,Baltimore Penn Station,2026-02-26T10:01:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T09:59:00-05:00,2026-02-26T10:10:17Z
amtrak,NER,164,2026-02-26,WAS,Washington Union Station,2026-02-26T09:20:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T08:18:00-05:00,2026-02-26T10:10:17Z
